,win_odds
0,110.26901614730733
1,245379.15438237457
2,15415.178950408008
3,70107.62027916819
4,1393.3039275766898
5,521.6226603167315
6,110.26901614730733
7,106.67867772842494
8,15415.178950408008
9,15415.178950408008
10,106.67867772842494
11,245379.15438237457
12,110.26901614730733
13,110.26901614730733
14,110.26901614730733
15,111226.53814298406
16,110.26901614730733
17,70107.62027916819
18,2252.630135316291
19,110.26901614730733
20,15415.178950408008
21,2252.630135316291
22,110.26901614730733
23,15415.178950408008
24,110.26901614730733
25,448.0786948090593
26,14337.594414785644
27,2252.630135316291
28,245379.15438237457
29,245379.15438237457
30,2252.630135316291
31,110.26901614730733
32,106.67867772842494
33,15415.178950408008
34,35769.82814217697
35,110.26901614730733
36,106.67867772842494
37,2252.630135316291
38,245379.15438237457
39,231.41537171943315
40,15415.178950408008
41,110.26901614730733
42,70107.62027916819
43,521.6226603167315
44,110.26901614730733
45,448.0786948090593
46,110.26901614730733
47,2497.5684357405553
48,106.67867772842494
49,231.41537171943315
50,110.26901614730733
51,245379.15438237457
52,70107.62027916819
53,231.41537171943315
54,2252.630135316291
55,49.03597800270743
56,2252.630135316291
57,2252.630135316291
58,521.6226603167315
59,1009.772859366594
60,15415.178950408008
61,70107.62027916819
62,70107.62027916819
63,70107.62027916819
64,15415.178950408008
65,448.0786948090593
66,70107.62027916819
67,448.0786948090593
68,111226.53814298406
69,245379.15438237457
70,110.26901614730733
71,448.0786948090593
72,110.26901614730733
73,35769.82814217697
74,2252.630135316291
75,35769.82814217697
76,245379.15438237457
77,70107.62027916819
78,245379.15438237457
79,10985.243229853557
80,2497.5684357405553
81,448.0786948090593
82,2252.630135316291
83,70107.62027916819
84,70107.62027916819
85,521.6226603167315
86,110.26901614730733
87,448.0786948090593
88,70107.62027916819
89,110.26901614730733
90,245379.15438237457
91,245379.15438237457
92,2252.630135316291
93,110.26901614730733
94,73.49878717514595
95,2252.630135316291
96,15415.178950408008
97,2497.5684357405553
98,521.6226603167315
99,110.26901614730733
100,245379.15438237457
101,106.67867772842494
102,1393.3039275766898
103,2252.630135316291
104,15415.178950408008
105,110.26901614730733
106,2252.630135316291
107,521.6226603167315
108,110.26901614730733
109,73.49878717514595
110,448.0786948090593
111,110.26901614730733
112,110.26901614730733
113,448.0786948090593
114,2252.630135316291
115,245379.15438237457
116,70107.62027916819
117,35769.82814217697
118,2252.630135316291
119,106.67867772842494
120,1009.772859366594
121,46654.91450951944
122,70107.62027916819
123,15415.178950408008
124,15415.178950408008
125,110.26901614730733
126,70107.62027916819
127,15415.178950408008
128,106.67867772842494
129,245379.15438237457
130,106.67867772842494
131,110.26901614730733
132,448.0786948090593
133,110.26901614730733
134,106.67867772842494
135,2252.630135316291
136,110.26901614730733
137,158.22246458909967
138,8132.509390140866
139,15415.178950408008
140,106.67867772842494
141,245379.15438237457
142,110.26901614730733
143,15415.178950408008
144,110.26901614730733
145,110.26901614730733
146,110.26901614730733
147,245379.15438237457
148,2252.630135316291
149,324.9512380519028
150,245379.15438237457
151,1393.3039275766898
152,110.26901614730733
153,2118.2311015237447
154,15415.178950408008
155,1393.3039275766898
156,15415.178950408008
157,110.26901614730733
158,110.26901614730733
159,8132.509390140866
160,245379.15438237457
161,35769.82814217697
162,8132.509390140866
163,106.67867772842494
164,245379.15438237457
165,70107.62027916819
166,448.0786948090593
167,15415.178950408008
168,245379.15438237457
169,2252.630135316291
170,245379.15438237457
171,70107.62027916819
172,106.67867772842494
173,110.26901614730733
174,594.6216621046669
175,15415.178950408008
176,106.67867772842494
177,1393.3039275766898
178,15415.178950408008
179,448.0786948090593
180,70107.62027916819
181,2252.630135316291
182,2497.5684357405553
183,448.0786948090593
184,110.26901614730733
185,594.6216621046669
186,2497.5684357405553
187,110.26901614730733
188,110.26901614730733
189,15415.178950408008
190,110.26901614730733
191,106.67867772842494
192,2497.5684357405553
193,110.26901614730733
194,110.26901614730733
195,110.26901614730733
196,231.41537171943315
197,708.3477910675422
198,70107.62027916819
199,521.6226603167315
200,2252.630135316291
201,15415.178950408008
202,111226.53814298406
203,448.0786948090593
204,111226.53814298406
205,15415.178950408008
206,110.26901614730733
207,110.26901614730733
208,2252.630135316291
209,10985.243229853557
210,70107.62027916819
211,2497.5684357405553
212,110.26901614730733
213,70107.62027916819
214,2252.630135316291
215,2252.630135316291
216,106.67867772842494
217,110.26901614730733
218,15415.178950408008
219,448.0786948090593
220,110.26901614730733
221,110.26901614730733
222,73.49878717514595
223,15415.178950408008
224,448.0786948090593
225,10985.243229853557
226,708.3477910675422
227,2252.630135316291
228,110.26901614730733
229,3137.8284127371826
230,245379.15438237457
231,15415.178950408008
232,106.67867772842494
233,110.26901614730733
234,70107.62027916819
235,110.26901614730733
236,35769.82814217697
237,2252.630135316291
238,15415.178950408008
239,70107.62027916819
240,112.67878429010008
241,15415.178950408008
242,245379.15438237457
243,15415.178950408008
244,245379.15438237457
245,245379.15438237457
246,8132.509390140866
247,70107.62027916819
248,110.26901614730733
249,448.0786948090593
250,110.26901614730733
